date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta,ret_market,ret,China,Software,stock_ret,event_day,actual_event_date,expected_ret,abnormal_ret,event
2022-09-13,2230,China,Software,37.07,,,0.426181,,,0.0042238227249835,-0.002153,1,1,-0.002153,-120,2023-03-15,0.006698367872675167,-0.008851367872675167,GPT4
2022-09-14,2230,China,Software,36.58,,,0.440198,,,-0.0111922272701104,-0.013218,1,1,-0.013218,-119,2023-03-15,-0.007427692726117119,-0.005790307273882881,GPT4
2022-09-15,2230,China,Software,35.86,,,0.555836,,,-0.009450822016788,-0.019683,1,1,-0.019683,-118,2023-03-15,-0.005832005365002174,-0.013850994634997825,GPT4
2022-09-16,2230,China,Software,35.45,,,0.510253,,,-0.0237293418161428,-0.011433,1,1,-0.011433,-117,2023-03-15,-0.01891572240087916,0.007482722400879159,GPT4
2022-09-19,2230,China,Software,34.8,,,0.437246,,,-0.0011914996582425,-0.018336,1,1,-0.018336,-116,2023-03-15,0.0017361906501186962,-0.0200721906501187,GPT4
2022-09-20,2230,China,Software,34.98,,,0.282773,,,0.0012304036390274,0.005172,1,1,0.005172,-115,2023-03-15,0.003955433111873638,0.001216566888126362,GPT4
2022-09-21,2230,China,Software,35.09,,,0.412437,,,-0.0074270069826516,0.003145,1,1,0.003145,-114,2023-03-15,-0.0039775398033274345,0.007122539803327435,GPT4
2022-09-22,2230,China,Software,34.39,,,0.41013,,,-0.0088488035191141,-0.019949,1,1,-0.019949,-113,2023-03-15,-0.005280362772869829,-0.014668637227130172,GPT4
2022-09-23,2230,China,Software,33.73,,,0.613272,,,-0.0034491608379202,-0.019192,1,1,-0.019192,-112,2023-03-15,-0.00033255320098567447,-0.018859446799014325,GPT4
2022-09-26,2230,China,Software,33.4,,,0.41668,,,-0.005029195419341,-0.009784,1,1,-0.009784,-111,2023-03-15,-0.0017803731193461346,-0.008003626880653866,GPT4
2022-09-27,2230,China,Software,34.16,,,0.417059,,,0.0143923305847815,0.022754,1,1,0.022754,-110,2023-03-15,0.016015991925043667,0.006738008074956333,GPT4
2022-09-28,2230,China,Software,33.74,,,0.32416,,,-0.0164710261206409,-0.012295,1,1,-0.012295,-109,2023-03-15,-0.012264770477886223,-3.0229522113777232e-05,GPT4
2022-09-29,2230,China,Software,33.13,,,0.557891,,,-0.0004093600077959,-0.018079,1,1,-0.018079,-108,2023-03-15,0.0024528821568563525,-0.020531882156856356,GPT4
2022-09-30,2230,China,Software,32.82,,,0.408304,,,-0.0058328043619269,-0.009357,1,1,-0.009357,-107,2023-03-15,-0.00251673740360264,-0.006840262596397361,GPT4
2022-10-10,2230,China,Software,31.58,,,0.632904,,,-0.0223102491780268,-0.037782,1,1,-0.037782,-106,2023-03-15,-0.01761537707197154,-0.020166622928028462,GPT4
2022-10-11,2230,China,Software,31.1,,,0.60379,,,0.0018124157824932,-0.015199,1,1,-0.015199,-105,2023-03-15,0.004488743448208002,-0.019687743448208003,GPT4
2022-10-12,2230,China,Software,31.44,,,1.14962,,,0.0150745806565951,0.010932,1,1,0.010932,-104,2023-03-15,0.016641152446775005,-0.0057091524467750045,GPT4
2022-10-13,2230,China,Software,31.71,,,0.884577,,,-0.0083941286666432,0.008588,1,1,0.008588,-103,2023-03-15,-0.004863734355032907,0.013451734355032908,GPT4
2022-10-14,2230,China,Software,33.0,,,0.994676,,,0.0236470029220339,0.040681,1,1,0.040681,-102,2023-03-15,0.024496248689882844,0.01618475131011716,GPT4
2022-10-17,2230,China,Software,33.97,,,1.636581,,,0.0010253767310732,0.029394,1,1,0.029394,-101,2023-03-15,0.003767562514213035,0.025626437485786965,GPT4
2022-10-18,2230,China,Software,33.2,,,0.864857,,,-0.0021198030652958,-0.022667,1,1,-0.022667,-100,2023-03-15,0.0008855661265686618,-0.023552566126568662,GPT4
2022-10-19,2230,China,Software,32.7,,,0.558079,,,-0.0162143048728809,-0.01506,1,1,-0.01506,-99,2023-03-15,-0.012029531236705152,-0.003030468763294849,GPT4
2022-10-20,2230,China,Software,32.95,,,0.82232,,,-0.0057378134945342,0.007645,1,1,0.007645,-98,2023-03-15,-0.002429695213836249,0.010074695213836249,GPT4
2022-10-21,2230,China,Software,33.8,,,1.142355,,,-0.0032100024629317,0.025797,1,1,0.025797,-97,2023-03-15,-0.00011340720062427267,0.025910407200624274,GPT4
2022-10-24,2230,China,Software,34.39,,,2.081317,,,-0.0296974238799339,0.017456,1,1,0.017456,-96,2023-03-15,-0.0243844052942603,0.0418404052942603,GPT4
2022-10-25,2230,China,Software,33.86,,,1.125349,,,-0.0016303931525011,-0.015411,1,1,-0.015411,-95,2023-03-15,0.0013340230327143834,-0.016745023032714385,GPT4
2022-10-26,2230,China,Software,35.04,,,1.277817,,,0.0080855895557667,0.034849,1,1,0.034849,-94,2023-03-15,0.010236988484791133,0.024612011515208865,GPT4
2022-10-27,2230,China,Software,35.19,,,1.39428,,,-0.0070685888044839,0.004281,1,1,0.004281,-93,2023-03-15,-0.003649113461552665,0.007930113461552665,GPT4
2022-10-28,2230,China,Software,33.95,,,1.086013,,,-0.0250456627369028,-0.035237,1,1,-0.035237,-92,2023-03-15,-0.020121895778627115,-0.015115104221372883,GPT4
