date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta,ret_market,ret,China,Software,stock_ret
2022-06-01,2230,China,Software,36.48,,,0.734309,,,-0.0020406884647345,0.0033,1,1,0.0033
2022-06-02,2230,China,Software,36.92,,,0.867698,,,0.0015639791288521,0.012061,1,1,0.012061
2022-06-06,2230,China,Software,38.77,,,1.621534,,,0.0185374048908827,0.050108,1,1,0.050108
2022-06-07,2230,China,Software,38.12,,,1.058751,,,0.0031261057230517,-0.016766,1,1,-0.016766
2022-06-08,2230,China,Software,38.68,,,1.313188,,,0.0096877256743065,0.01469,1,1,0.01469
2022-06-09,2230,China,Software,37.5,,,1.033797,,,-0.0105145554112521,-0.030507,1,1,-0.030507
2022-06-10,2230,China,Software,37.89,,,0.798521,,,0.0150499550600663,0.0104,1,1,0.0104
2022-06-13,2230,China,Software,37.9,,,0.6549,,,-0.0117796702050138,0.002903,1,1,0.002903
2022-06-14,2230,China,Software,37.96,,,0.806606,,,0.0078363017485885,0.001583,1,1,0.001583
2022-06-15,2230,China,Software,38.35,,,1.107744,,,0.0131539592687451,0.010274,1,1,0.010274
2022-06-16,2230,China,Software,38.56,,,0.924032,,,-0.0066032319791515,0.005476,1,1,0.005476
2022-06-17,2230,China,Software,38.63,,,0.938934,,,0.0137827339929577,0.001815,1,1,0.001815
2022-06-20,2230,China,Software,42.49,,,2.313616,,,0.0049514672472746,0.099922,1,1,0.099922
2022-06-21,2230,China,Software,42.76,,,2.36591,,,-0.0011245381412117,0.006354,1,1,0.006354
2022-06-22,2230,China,Software,41.19,,,1.52269,,,-0.0127832806362517,-0.036717,1,1,-0.036717
2022-06-23,2230,China,Software,41.39,,,1.470486,,,0.0170077792854342,0.004856,1,1,0.004856
2022-06-24,2230,China,Software,41.75,,,1.233249,,,0.0116481551356669,0.008698,1,1,0.008698
2022-06-27,2230,China,Software,41.93,,,1.075951,,,0.0111986232951451,0.004311,1,1,0.004311
2022-06-28,2230,China,Software,43.14,,,1.487058,,,0.0103535639381454,0.028858,1,1,0.028858
2022-06-29,2230,China,Software,41.6,,,1.139206,,,-0.0155211773464163,-0.035698,1,1,-0.035698
2022-06-30,2230,China,Software,41.22,,,0.997713,,,0.014294285582352,-0.009135,1,1,-0.009135
2022-07-01,2230,China,Software,41.16,,,0.710884,,,-0.0040870373675651,-0.001456,1,1,-0.001456
2022-07-04,2230,China,Software,42.33,,,1.151261,,,0.0065408744069623,0.028426,1,1,0.028426
2022-07-05,2230,China,Software,43.97,,,1.780567,,,-0.0014449840298568,0.038743,1,1,0.038743
2022-07-06,2230,China,Software,43.76,,,1.088108,,,-0.0147123181335847,-0.004776,1,1,-0.004776
2022-07-07,2230,China,Software,43.04,,,0.768193,,,0.0043990199323337,-0.016453,1,1,-0.016453
2022-07-08,2230,China,Software,42.6,,,0.629345,,,-0.0033121260450849,-0.010223,1,1,-0.010223
2022-07-11,2230,China,Software,41.2,,,0.720544,,,-0.0168877153446425,-0.032864,1,1,-0.032864
2022-07-12,2230,China,Software,40.54,,,0.81194,,,-0.0094596664104028,-0.016019,1,1,-0.016019
2022-07-13,2230,China,Software,40.62,,,0.432495,,,0.0018167757930535,0.001973,1,1,0.001973
2022-07-14,2230,China,Software,40.49,,,0.448006,,,0.0001416087122266,-0.0032,1,1,-0.0032
2022-07-15,2230,China,Software,39.68,,,0.647394,,,-0.0171630450155872,-0.020005,1,1,-0.020005
2022-07-18,2230,China,Software,41.21,,,0.946328,,,0.0103170139080201,0.038558,1,1,0.038558
2022-07-19,2230,China,Software,41.57,,,0.677862,,,-0.0054300999843354,0.008736,1,1,0.008736
2022-07-20,2230,China,Software,42.25,,,1.016037,,,0.0033819179183337,0.016358,1,1,0.016358
2022-07-21,2230,China,Software,41.74,,,0.60341,,,-0.0112080466596254,-0.012071,1,1,-0.012071
2022-07-22,2230,China,Software,41.22,,,0.511257,,,0.0005135532379165,-0.012458,1,1,-0.012458
2022-07-25,2230,China,Software,41.28,,,0.456477,,,-0.0060561939752745,0.001456,1,1,0.001456
2022-07-26,2230,China,Software,42.02,,,0.492383,,,0.0078812318158977,0.017926,1,1,0.017926
2022-07-27,2230,China,Software,42.88,,,0.900119,,,-0.0049439294034848,0.020466,1,1,0.020466
2022-07-28,2230,China,Software,43.12,,,0.703711,,,0.0001507565817746,0.005597,1,1,0.005597
2022-07-29,2230,China,Software,42.04,,,0.589976,,,-0.0132380421214567,-0.025046,1,1,-0.025046
2022-08-01,2230,China,Software,42.54,,,0.58459,,,0.0044446750796027,0.011893,1,1,0.011893
2022-08-02,2230,China,Software,40.55,,,0.92242,,,-0.0196864923839493,-0.04678,1,1,-0.04678
2022-08-03,2230,China,Software,40.71,,,0.741263,,,-0.0097991987698004,0.003946,1,1,0.003946
2022-08-04,2230,China,Software,41.05,,,0.493364,,,0.0084623016407567,0.008352,1,1,0.008352
2022-08-05,2230,China,Software,42.2,,,0.825524,,,0.0134104688610516,0.028015,1,1,0.028015
2022-08-08,2230,China,Software,41.94,,,0.485704,,,-0.0021278791641602,-0.006161,1,1,-0.006161
2022-08-09,2230,China,Software,41.66,,,0.483879,,,0.0019787188283114,-0.006676,1,1,-0.006676
2022-08-10,2230,China,Software,40.7,,,0.692254,,,-0.0112640538419871,-0.023044,1,1,-0.023044
2022-08-11,2230,China,Software,41.24,,,0.532131,,,0.0201869251611875,0.013268,1,1,0.013268
2022-08-12,2230,China,Software,41.21,,,0.721669,,,-0.0005703248752184,-0.000727,1,1,-0.000727
2022-08-15,2230,China,Software,40.42,,,0.791199,,,-0.0013066995809622,-0.01917,1,1,-0.01917
2022-08-16,2230,China,Software,39.84,,,1.014133,,,-0.0018752884069731,-0.014349,1,1,-0.014349
2022-08-17,2230,China,Software,40.26,,,0.801902,,,0.0093206036745089,0.010542,1,1,0.010542
2022-08-18,2230,China,Software,39.44,,,0.636893,,,-0.0087790824701014,-0.020368,1,1,-0.020368
2022-08-19,2230,China,Software,38.94,,,0.636074,,,-0.0069680737538466,-0.012677,1,1,-0.012677
2022-08-22,2230,China,Software,39.1,,,0.418381,,,0.0072783052854496,0.004109,1,1,0.004109
2022-08-23,2230,China,Software,39.46,,,0.72056,,,-0.0048702646192054,0.009207,1,1,0.009207
2022-08-24,2230,China,Software,37.7,,,1.170465,,,-0.0190851867732802,-0.044602,1,1,-0.044602
2022-08-25,2230,China,Software,37.43,,,0.652175,,,0.0082501754752007,-0.007162,1,1,-0.007162
2022-08-26,2230,China,Software,37.21,,,0.47673,,,-0.0021143554170489,-0.005878,1,1,-0.005878
2022-08-29,2230,China,Software,36.91,,,0.520488,,,-0.0043979216109512,-0.008062,1,1,-0.008062
2022-08-30,2230,China,Software,37.42,,,0.414154,,,-0.0033622739433434,0.013817,1,1,0.013817
2022-08-31,2230,China,Software,37.49,,,0.446816,,,0.0007470599273159,0.001871,1,1,0.001871
2022-09-01,2230,China,Software,37.17,,,0.3903,,,-0.0086426279538412,-0.008536,1,1,-0.008536
2022-09-02,2230,China,Software,37.39,,,0.278273,,,-0.0049897511016337,0.005919,1,1,0.005919
2022-09-05,2230,China,Software,36.51,,,0.571927,,,-0.002036811322941,-0.023536,1,1,-0.023536
2022-09-06,2230,China,Software,36.85,,,0.36222,,,0.009136241789855,0.009313,1,1,0.009313
2022-09-07,2230,China,Software,36.95,,,0.417866,,,0.0006668095262616,0.002714,1,1,0.002714
2022-09-08,2230,China,Software,36.6,,,0.328736,,,-0.0042752349376846,-0.009472,1,1,-0.009472
2022-09-09,2230,China,Software,37.15,,,0.400244,,,0.0137991982627333,0.015027,1,1,0.015027
2022-09-13,2230,China,Software,37.07,,,0.426181,,,0.0042238227249835,-0.002153,1,1,-0.002153
2022-09-14,2230,China,Software,36.58,,,0.440198,,,-0.0111922272701104,-0.013218,1,1,-0.013218
2022-09-15,2230,China,Software,35.86,,,0.555836,,,-0.009450822016788,-0.019683,1,1,-0.019683
2022-09-16,2230,China,Software,35.45,,,0.510253,,,-0.0237293418161428,-0.011433,1,1,-0.011433
2022-09-19,2230,China,Software,34.8,,,0.437246,,,-0.0011914996582425,-0.018336,1,1,-0.018336
2022-09-20,2230,China,Software,34.98,,,0.282773,,,0.0012304036390274,0.005172,1,1,0.005172
2022-09-21,2230,China,Software,35.09,,,0.412437,,,-0.0074270069826516,0.003145,1,1,0.003145
2022-09-22,2230,China,Software,34.39,,,0.41013,,,-0.0088488035191141,-0.019949,1,1,-0.019949
2022-09-23,2230,China,Software,33.73,,,0.613272,,,-0.0034491608379202,-0.019192,1,1,-0.019192
2022-09-26,2230,China,Software,33.4,,,0.41668,,,-0.005029195419341,-0.009784,1,1,-0.009784
2022-09-27,2230,China,Software,34.16,,,0.417059,,,0.0143923305847815,0.022754,1,1,0.022754
