date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta
2022-06-01,NVDA,US,Semi,18.286706924438477,,544514000,0.02240798353909465,4823327440896,2.335
2022-06-02,NVDA,US,Semi,19.55638885498047,0.06712763037532192,648656000,0.02669366255144033,4823327440896,2.335
2022-06-03,NVDA,US,Semi,18.685977935791016,-0.045528629114651005,598779000,0.02464111111111111,4823327440896,2.335
2022-06-06,NVDA,US,Semi,18.751859664916992,0.003519530045273479,422406000,0.017382962962962965,4823327440896,2.335
2022-06-07,NVDA,US,Semi,18.89160919189453,0.007424935759099198,388914000,0.01600469135802469,4823327440896,2.335
2022-06-08,NVDA,US,Semi,18.618045806884766,-0.014586550340179909,363252000,0.014948641975308641,4823327440896,2.335
2022-06-09,NVDA,US,Semi,18.019010543823242,-0.03270397315121787,395574000,0.016278765432098767,4823327440896,2.335
2022-06-10,NVDA,US,Semi,16.946733474731445,-0.061352241995413115,465248000,0.019146008230452673,4823327440896,2.335
2022-06-13,NVDA,US,Semi,15.621866226196289,-0.08140348591551633,604153000,0.024862263374485598,4823327440896,2.335
2022-06-14,NVDA,US,Semi,15.810563087463379,0.01200665250861055,469680000,0.019328395061728395,4823327440896,2.335
2022-06-15,NVDA,US,Semi,16.50045394897461,0.042709626094665894,563936000,0.02320724279835391,4823327440896,2.335
2022-06-16,NVDA,US,Semi,15.575940132141113,-0.057660468121127864,545749000,0.02245880658436214,4823327440896,2.335
2022-06-17,NVDA,US,Semi,15.8544921875,0.017725454471468543,630334000,0.025939670781893003,4823327440896,2.335
2022-06-21,NVDA,US,Semi,16.539392471313477,0.04229207910760893,483089000,0.019880205761316872,4823327440896,2.335
2022-06-22,NVDA,US,Semi,16.333724975585938,-0.012512970792957143,437135000,0.01798909465020576,4823327440896,2.335
2022-06-23,NVDA,US,Semi,16.198938369750977,-0.008286279892591225,463680000,0.01908148148148148,4823327440896,2.335
2022-06-24,NVDA,US,Semi,17.098491668701172,0.054044545749933906,472153000,0.0194301646090535,4823327440896,2.335
2022-06-27,NVDA,US,Semi,16.84190559387207,-0.015120091916277367,427968000,0.01761185185185185,4823327440896,2.335
2022-06-28,NVDA,US,Semi,15.956328392028809,-0.0540146462620133,461149000,0.01897732510288066,4823327440896,2.335
2022-06-29,NVDA,US,Semi,15.517035484313965,-0.027917031029992666,482352000,0.019849876543209875,4823327440896,2.335
2022-06-30,NVDA,US,Semi,15.134649276733398,-0.024951714690180055,686070000,0.028233333333333333,4823327440896,2.335
2022-07-01,NVDA,US,Semi,14.49967098236084,-0.04286081091360383,577610000,0.023769958847736625,4823327440896,2.335
2022-07-05,NVDA,US,Semi,14.939964294433594,0.029913831473577554,651397000,0.026806460905349796,4823327440896,2.335
2022-07-06,NVDA,US,Semi,15.105694770812988,0.011032020091477496,529066000,0.021772263374485595,4823327440896,2.335
2022-07-07,NVDA,US,Semi,15.832526206970215,0.046994634808788,492903000,0.020284074074074072,4823327440896,2.335
2022-07-08,NVDA,US,Semi,15.812559127807617,-0.0012619388825243856,467972000,0.019258106995884774,4823327440896,2.335
2022-07-11,NVDA,US,Semi,15.127660751342773,-0.04427959989934303,437321000,0.017996748971193417,4823327440896,2.335
2022-07-12,NVDA,US,Semi,15.057775497436523,-0.004630403761310976,458483000,0.01886761316872428,4823327440896,2.335
2022-07-13,NVDA,US,Semi,15.139642715454102,0.005422146887710533,521918000,0.021478106995884774,4823327440896,2.335
2022-07-14,NVDA,US,Semi,15.347308158874512,0.01362344539660084,456235000,0.018775102880658437,4823327440896,2.335
2022-07-15,NVDA,US,Semi,15.736681938171387,0.02505432191810261,385935000,0.0158820987654321,4823327440896,2.335
2022-07-18,NVDA,US,Semi,16.07513427734375,0.021279206936756404,670517000,0.02759329218106996,4823327440896,2.335
2022-07-19,NVDA,US,Semi,16.964706420898438,0.05386146983237516,702366000,0.02890395061728395,4823327440896,2.335
2022-07-20,NVDA,US,Semi,17.778392791748047,0.046848738735427164,760538000,0.03129786008230453,4823327440896,2.335
2022-07-21,NVDA,US,Semi,18.021007537841797,0.013554330981982821,557049000,0.022923827160493827,4823327440896,2.335
