Stkcd,Trddt,Clsprc,Dretwd,ToverOs
2230,2022/12/8,33.72,-0.00531,0.717617
2230,2022/12/9,34,0.008304,0.788804
2230,2022/12/12,34.4,0.011765,0.824318
2230,2022/12/13,33.16,-0.036047,0.796717
2230,2022/12/14,33.83,0.020205,0.693319
2230,2022/12/15,34.04,0.006208,0.569663
2230,2022/12/16,33.9,-0.004113,0.428293
2230,2022/12/19,33.28,-0.018289,0.437174
2230,2022/12/20,32.13,-0.034555,0.658279
2230,2022/12/21,31.88,-0.007781,0.368197
2230,2022/12/22,32.96,0.033877,1.098638
2230,2022/12/23,33.36,0.012136,0.874935
2230,2022/12/26,32.8,-0.016787,0.684247
2230,2022/12/27,33.13,0.010061,0.429976
2230,2022/12/28,32.63,-0.015092,0.450827
2230,2022/12/29,33.1,0.014404,0.5885
2230,2022/12/30,32.83,-0.008157,0.39159
2230,2023/1/3,34.37,0.046908,1.344895
2230,2023/1/4,34.15,-0.006401,0.692552
2230,2023/1/5,34.42,0.007906,0.743831
2230,2023/1/6,33.94,-0.013945,0.734994
2230,2023/1/9,34.04,0.002946,0.578465
2230,2023/1/10,34.12,0.00235,0.609496
2230,2023/1/11,33.2,-0.026964,1.010753
2230,2023/1/12,33.31,0.003313,0.560688
2230,2023/1/13,33.26,-0.001501,0.425128
2230,2023/1/16,35.18,0.057727,2.264525
2230,2023/1/17,35.5,0.009096,1.047058
2230,2023/1/18,35.38,-0.00338,0.713363
2230,2023/1/19,38.61,0.091295,3.010902
2230,2023/1/20,37.88,-0.018907,1.457116
2230,2023/1/30,41.67,0.100053,4.33823
2230,2023/1/31,40.58,-0.026158,4.024196
2230,2023/2/1,42.99,0.059389,4.224067
2230,2023/2/2,42.88,-0.002559,5.897851
2230,2023/2/3,43.86,0.022854,3.586276
2230,2023/2/6,47.9,0.092111,5.582789
2230,2023/2/7,46.69,-0.025261,4.809431
2230,2023/2/8,46.33,-0.00771,4.069704
2230,2023/2/9,46.4,0.001511,4.110638
2230,2023/2/10,47.91,0.032543,6.264776
2230,2023/2/13,48.5,0.012315,4.43215
2230,2023/2/14,47.38,-0.023093,3.393058
2230,2023/2/15,50.79,0.071971,6.379737
2230,2023/2/16,48.5,-0.045088,4.79697
2230,2023/2/17,46.7,-0.037113,3.778514
2230,2023/2/20,50.94,0.090792,6.051524
2230,2023/2/21,50.66,-0.005497,3.652689
2230,2023/2/22,50.38,-0.005527,3.109282
2230,2023/2/23,48.45,-0.038309,3.291052
2230,2023/2/24,49.15,0.014448,3.055217
2230,2023/2/27,47.79,-0.02767,2.17641
2230,2023/2/28,48.34,0.011509,2.545182
2230,2023/3/1,49.88,0.031858,3.83539
2230,2023/3/2,50.9,0.020449,3.965962
2230,2023/3/3,50.71,-0.003733,3.490374
2230,2023/3/6,50.32,-0.007691,2.143889
2230,2023/3/7,48.83,-0.02961,2.126368
2230,2023/3/8,48.62,-0.004301,2.236016
2230,2023/3/9,48.28,-0.006993,1.713436
2230,2023/3/10,47.63,-0.013463,2.316205
2230,2023/3/13,49.2,0.032962,2.870774
2230,2023/3/14,48.15,-0.021341,2.15197
2230,2023/3/15,48.18,0.000623,2.747689
2230,2023/3/16,48.87,0.014321,3.318956
2230,2023/3/17,52.28,0.069777,5.485881
2230,2023/3/20,51.08,-0.022953,3.567923
2230,2023/3/21,50.82,-0.00509,2.620487
2230,2023/3/22,51.55,0.014364,3.207005
2230,2023/3/23,56.71,0.100097,7.080027
2230,2023/3/24,60.02,0.058367,6.64801
2230,2023/3/27,60.46,0.007331,5.801084
2230,2023/3/28,58.24,-0.036718,3.795781
2230,2023/3/29,59.25,0.017342,4.878639
2230,2023/3/30,58.77,-0.008101,3.029595
2230,2023/3/31,63.68,0.083546,5.178715
2230,2023/4/3,69.3,0.088254,6.432244
2230,2023/4/4,65.9,-0.049062,5.648657
2230,2023/4/6,63.98,-0.029135,3.983229
2230,2023/4/7,65.5,0.023757,3.252716
2230,2023/4/10,58.95,-0.1,5.226739
2230,2023/4/11,59.85,0.015267,4.218995
2230,2023/4/12,61.74,0.031579,3.684311
2230,2023/4/13,59.09,-0.042922,3.387918
2230,2023/4/14,59.18,0.001523,3.227067
2230,2023/4/17,58.23,-0.016053,2.746034
2230,2023/4/18,59.76,0.026275,3.310744
2230,2023/4/19,58.51,-0.020917,3.687237
2230,2023/4/20,63.95,0.092976,5.833911
2230,2023/4/21,58.04,-0.092416,7.47723
2230,2023/4/24,58.76,0.012405,4.48472
2230,2023/4/25,61.17,0.041014,4.975383
2230,2023/4/26,56.98,-0.068498,5.477459
2230,2023/4/27,55.36,-0.028431,4.108577
2230,2023/4/28,60.6,0.094653,5.003617
2230,2023/5/4,59.99,-0.010066,3.902377
2230,2023/5/5,58.05,-0.032339,3.581693
2230,2023/5/8,63.86,0.100086,6.528541
2230,2023/5/9,64.28,0.006577,6.496673
2230,2023/5/10,65.45,0.018202,5.114795
2230,2023/5/11,62.27,-0.048587,5.121442
2230,2023/5/12,63.24,0.015577,3.892946
2230,2023/5/15,63.9,0.010436,3.553144
2230,2023/5/16,59.12,-0.074804,4.561849
2230,2023/5/17,58.33,-0.013363,3.411265
2230,2023/5/18,61.19,0.049031,4.004876
2230,2023/5/19,59.92,-0.020755,2.275882
2230,2023/5/22,58.86,-0.01769,2.118989
2230,2023/5/23,59.09,0.003908,2.11939
2230,2023/5/24,56.57,-0.042647,5.191703
2230,2023/5/25,55.61,-0.01697,3.473141
2230,2023/5/26,56.63,0.018342,2.646292
2230,2023/5/29,55.84,-0.01395,2.431362
2230,2023/5/30,60.2,0.07808,4.809489
2230,2023/5/31,59.75,-0.007475,2.812068
2230,2023/6/1,65.73,0.100084,4.611071
2230,2023/6/2,66.8,0.016279,5.256892
2230,2023/6/5,66.88,0.001198,3.678608
2230,2023/6/6,63.6,-0.049043,4.325742
2230,2023/6/7,64.94,0.021069,3.411238
2230,2023/6/8,64.21,-0.011241,2.561039
2230,2023/6/9,66.35,0.033328,5.480222
2230,2023/6/12,68.5,0.032404,6.231143
2230,2023/6/13,74.85,0.092701,7.444416
2230,2023/6/14,75.13,0.003741,4.853855
2230,2023/6/15,72.88,-0.029948,4.317141
2230,2023/6/16,74.31,0.019621,4.084469
2230,2023/6/19,75.6,0.01736,4.554153
2230,2023/6/20,80.8,0.068783,6.088379
2230,2023/6/21,77.6,-0.039604,4.457226
2230,2023/6/26,72.48,-0.065979,4.877851
