ticker,market,industry,event,planned_event_date,actual_event_date,alpha,beta_estimated,marketcap,CAR_m5_p10,PostCAR_p11_p30,Turnover_Estimation_Avg,Turnover_Event_Avg,TurnoverChange,TurnoverChangeRatio,event_window_obs,post_window_obs,estimation_obs,China,Software
2371,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0005909804457223109,1.1153693137692462,,0.0728332177830773,-0.016793878947599906,1.3751228727272726,1.48095,0.10582712727272736,0.07695830632417677,16,20,110,1,0
300782,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0004702814935906509,1.8058733091506864,,0.024139904364978176,-0.03564703435842828,2.555978072727273,2.8100205625,0.2540424897727269,0.09939149810532566,16,20,110,1,0
600584,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0013400093792406095,1.042954750468304,,-0.07422610988296935,-0.08994736451131913,3.2542552727272733,4.0259421875,0.7716869147727268,0.2371316476737253,16,20,110,1,0
603986,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0029226601661261273,1.1940768618203619,,-0.1585494416085806,-0.02743643676999307,3.783028572727273,4.7829686250000005,0.9999400522727275,0.2643226275057837,16,20,110,1,0
688008,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.00014500680905917321,1.6897088563810447,,0.0347221393767654,0.05461016847463549,2.8819282636363637,3.3197998125,0.4378715488636362,0.15193700495207252,16,20,110,1,0
688009,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0011653195186686605,1.299122440807474,,-0.040729469029905964,0.007912755968275596,0.44787369090909085,0.286706625,-0.16116706590909086,-0.35984937088390945,16,20,110,1,0
688012,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0011014148098351991,1.6404837999020903,,-0.035516294745556815,0.0038231478859351853,1.6112393272727275,1.4867629375,-0.12447638977272746,-0.07725505929862264,16,20,110,1,0
688036,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0007406020140110608,1.4593532409500531,,-0.007908003454893925,-0.05971110622781083,0.788048681818182,0.7645176250000001,-0.023531056818181906,-0.0298599025175591,16,20,110,1,0
688041,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.005550392526870487,1.5550604760446571,,-0.08013551110836913,-0.018018436586065792,2.646937945454546,3.1616218125,0.5146838670454539,0.19444500689156485,16,20,110,1,0
688047,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.001592773800564816,1.525073904806926,,-0.02927381295859898,-0.0052771530830184755,1.701549163636364,1.88230875,0.18075958636363598,0.10623236179513995,16,20,110,1,0
688065,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0011057551972787937,1.4745695316292928,,0.1435560134314877,0.09834023710500596,0.5198665545454546,0.7049768125,0.1851102579545454,0.35607264275040085,16,20,110,1,0
688072,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0008435794948096927,1.5843288155112025,,0.005863376438894917,0.04800413422820601,2.658507945454546,2.846626875,0.18811892954545417,0.07076109359277849,16,20,110,1,0
688099,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.00029894693121889547,1.7521805020546193,,-0.06704047302323116,0.006436648052199187,1.995162790909091,3.637665625,1.642502834090909,0.8232425151345704,16,20,110,1,0
688256,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.009905584066282561,1.5820863462278163,,-0.1266013814596776,-0.027433195426170627,2.203388681818182,2.25804925,0.05466056818181819,0.02480750156922551,16,20,110,1,0
688271,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,-0.0003703710387316712,1.2271851891431014,,0.054075078108151736,-0.04707356376678126,0.7057419545454545,0.658881875,-0.04686007954545457,-0.0663983191641705,16,20,110,1,0
688396,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0004792038314631296,1.4729329582689772,,-0.07736777206128212,-0.00021670766421755163,0.5674039636363637,0.5336384375000001,-0.03376552613636363,-0.059508794968523016,16,20,110,1,0
688469,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0006995992033287591,1.3902069929966292,,-0.056057815508438615,0.05280768731035018,1.9948677272727269,1.39693975,-0.5979279772727268,-0.2997331447585154,16,20,110,1,0
688521,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0036335626248152455,1.6938503891727077,,-0.022284453923974438,0.5007497615444388,2.263446654545455,3.1730758750000003,0.9096292204545455,0.4018779142100952,16,20,110,1,0
688598,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.0003009336836729957,1.9202361602304456,,0.05593946419097028,0.3128528854651131,4.4451161818181815,3.3374659375,-1.1076502443181813,-0.2491836431292377,16,20,110,1,0
688981,China,Semi,DeepSeek_R1,2025-01-27,2025-01-27,0.005874966503809201,1.4234341786281486,,-0.1673517627784952,-0.18977225934557368,3.4390314909090907,3.5090331875,0.07000169659090938,0.02035506123626818,16,20,110,1,0
2230,China,Software,DeepSeek_R1,2025-01-27,2025-01-27,0.000705307864441291,1.1133758756839718,,0.08131681829099702,-0.09114663591151433,2.704898063636363,3.8044091250000003,1.0995110613636374,0.40648890845280006,16,20,110,1,1
2410,China,Software,DeepSeek_R1,2025-01-27,2025-01-27,-0.0005635799889285417,1.3481400753066382,,0.18436499859713618,0.10201879875671868,2.9554363545454554,3.8425475000000002,0.8871111454545448,0.30016249346400903,16,20,110,1,1
2908,China,Software,DeepSeek_R1,2025-01-27,2025-01-27,-5.93441605239024e-05,1.1221181992341587,,0.13527190722428065,0.016554812939926146,5.535210236363636,7.223637312499999,1.688427076136363,0.30503395608069583,16,20,110,1,1
