ticker,date,close,ret,turnover,market,industry
002230,2022-06-01,36.48,0.0033,0.734309,China,Software
002230,2022-06-02,36.92,0.012061,0.867698,China,Software
002230,2022-06-06,38.77,0.050108,1.621534,China,Software
002230,2022-06-07,38.12,-0.016766,1.058751,China,Software
002230,2022-06-08,38.68,0.01469,1.313188,China,Software
002230,2022-06-09,37.5,-0.030507,1.033797,China,Software
002230,2022-06-10,37.89,0.0104,0.798521,China,Software
002230,2022-06-13,37.9,0.002903,0.6549,China,Software
002230,2022-06-14,37.96,0.001583,0.806606,China,Software
002230,2022-06-15,38.35,0.010274,1.107744,China,Software
002230,2022-06-16,38.56,0.005476,0.924032,China,Software
002230,2022-06-17,38.63,0.001815,0.938934,China,Software
002230,2022-06-20,42.49,0.099922,2.313616,China,Software
002230,2022-06-21,42.76,0.006354,2.36591,China,Software
002230,2022-06-22,41.19,-0.036717,1.52269,China,Software
002230,2022-06-23,41.39,0.004856,1.470486,China,Software
002230,2022-06-24,41.75,0.008698,1.233249,China,Software
002230,2022-06-27,41.93,0.004311,1.075951,China,Software
002230,2022-06-28,43.14,0.028858,1.487058,China,Software
002230,2022-06-29,41.6,-0.035698,1.139206,China,Software
002230,2022-06-30,41.22,-0.009135,0.997713,China,Software
002230,2022-07-01,41.16,-0.001456,0.710884,China,Software
002230,2022-07-04,42.33,0.028426,1.151261,China,Software
002230,2022-07-05,43.97,0.038743,1.780567,China,Software
002230,2022-07-06,43.76,-0.004776,1.088108,China,Software
002230,2022-07-07,43.04,-0.016453,0.768193,China,Software
002230,2022-07-08,42.6,-0.010223,0.629345,China,Software
002230,2022-07-11,41.2,-0.032864,0.720544,China,Software
002230,2022-07-12,40.54,-0.016019,0.81194,China,Software
002230,2022-07-13,40.62,0.001973,0.432495,China,Software
002230,2022-07-14,40.49,-0.0032,0.448006,China,Software
002230,2022-07-15,39.68,-0.020005,0.647394,China,Software
002230,2022-07-18,41.21,0.038558,0.946328,China,Software
002230,2022-07-19,41.57,0.008736,0.677862,China,Software
002230,2022-07-20,42.25,0.016358,1.016037,China,Software
002230,2022-07-21,41.74,-0.012071,0.60341,China,Software
002230,2022-07-22,41.22,-0.012458,0.511257,China,Software
002230,2022-07-25,41.28,0.001456,0.456477,China,Software
002230,2022-07-26,42.02,0.017926,0.492383,China,Software
002230,2022-07-27,42.88,0.020466,0.900119,China,Software
002230,2022-07-28,43.12,0.005597,0.703711,China,Software
002230,2022-07-29,42.04,-0.025046,0.589976,China,Software
002230,2022-08-01,42.54,0.011893,0.58459,China,Software
002230,2022-08-02,40.55,-0.04678,0.92242,China,Software
002230,2022-08-03,40.71,0.003946,0.741263,China,Software
002230,2022-08-04,41.05,0.008352,0.493364,China,Software
002230,2022-08-05,42.2,0.028015,0.825524,China,Software
002230,2022-08-08,41.94,-0.006161,0.485704,China,Software
002230,2022-08-09,41.66,-0.006676,0.483879,China,Software
002230,2022-08-10,40.7,-0.023044,0.692254,China,Software
002230,2022-08-11,41.24,0.013268,0.532131,China,Software
002230,2022-08-12,41.21,-0.000727,0.721669,China,Software
002230,2022-08-15,40.42,-0.01917,0.791199,China,Software
002230,2022-08-16,39.84,-0.014349,1.014133,China,Software
002230,2022-08-17,40.26,0.010542,0.801902,China,Software
002230,2022-08-18,39.44,-0.020368,0.636893,China,Software
002230,2022-08-19,38.94,-0.012677,0.636074,China,Software
002230,2022-08-22,39.1,0.004109,0.418381,China,Software
002230,2022-08-23,39.46,0.009207,0.72056,China,Software
002230,2022-08-24,37.7,-0.044602,1.170465,China,Software
002230,2022-08-25,37.43,-0.007162,0.652175,China,Software
002230,2022-08-26,37.21,-0.005878,0.47673,China,Software
002230,2022-08-29,36.91,-0.008062,0.520488,China,Software
002230,2022-08-30,37.42,0.013817,0.414154,China,Software
002230,2022-08-31,37.49,0.001871,0.446816,China,Software
002230,2022-09-01,37.17,-0.008536,0.3903,China,Software
002230,2022-09-02,37.39,0.005919,0.278273,China,Software
002230,2022-09-05,36.51,-0.023536,0.571927,China,Software
002230,2022-09-06,36.85,0.009313,0.36222,China,Software
002230,2022-09-07,36.95,0.002714,0.417866,China,Software
002230,2022-09-08,36.6,-0.009472,0.328736,China,Software
002230,2022-09-09,37.15,0.015027,0.400244,China,Software
002230,2022-09-13,37.07,-0.002153,0.426181,China,Software
002230,2022-09-14,36.58,-0.013218,0.440198,China,Software
002230,2022-09-15,35.86,-0.019683,0.555836,China,Software
002230,2022-09-16,35.45,-0.011433,0.510253,China,Software
002230,2022-09-19,34.8,-0.018336,0.437246,China,Software
002230,2022-09-20,34.98,0.005172,0.282773,China,Software
002230,2022-09-21,35.09,0.003145,0.412437,China,Software
002230,2022-09-22,34.39,-0.019949,0.41013,China,Software
002230,2022-09-23,33.73,-0.019192,0.613272,China,Software
002230,2022-09-26,33.4,-0.009784,0.41668,China,Software
002230,2022-09-27,34.16,0.022754,0.417059,China,Software
002230,2022-09-28,33.74,-0.012295,0.32416,China,Software
002230,2022-09-29,33.13,-0.018079,0.557891,China,Software
002230,2022-09-30,32.82,-0.009357,0.408304,China,Software
002230,2022-10-10,31.58,-0.037782,0.632904,China,Software
002230,2022-10-11,31.1,-0.015199,0.60379,China,Software
002230,2022-10-12,31.44,0.010932,1.14962,China,Software
002230,2022-10-13,31.71,0.008588,0.884577,China,Software
002230,2022-10-14,33.0,0.040681,0.994676,China,Software
002230,2022-10-17,33.97,0.029394,1.636581,China,Software
002230,2022-10-18,33.2,-0.022667,0.864857,China,Software
002230,2022-10-19,32.7,-0.01506,0.558079,China,Software
002230,2022-10-20,32.95,0.007645,0.82232,China,Software
002230,2022-10-21,33.8,0.025797,1.142355,China,Software
002230,2022-10-24,34.39,0.017456,2.081317,China,Software
002230,2022-10-25,33.86,-0.015411,1.125349,China,Software
002230,2022-10-26,35.04,0.034849,1.277817,China,Software
002230,2022-10-27,35.19,0.004281,1.39428,China,Software
002230,2022-10-28,33.95,-0.035237,1.086013,China,Software
002230,2022-10-31,35.03,0.031811,1.429187,China,Software
002230,2022-11-01,35.45,0.01199,1.110688,China,Software
002230,2022-11-02,35.78,0.009309,1.134962,China,Software
002230,2022-11-03,35.42,-0.010061,0.760153,China,Software
002230,2022-11-04,35.7,0.007905,1.186917,China,Software
002230,2022-11-07,34.99,-0.019888,1.06327,China,Software
002230,2022-11-08,35.3,0.00886,1.162515,China,Software
002230,2022-11-09,34.53,-0.021813,0.996381,China,Software
002230,2022-11-10,33.89,-0.018535,0.813314,China,Software
002230,2022-11-11,34.46,0.016819,1.029704,China,Software
002230,2022-11-14,34.23,-0.006674,0.869993,China,Software
002230,2022-11-15,35.05,0.023956,1.209717,China,Software
002230,2022-11-16,34.87,-0.005136,1.170713,China,Software
002230,2022-11-17,35.75,0.025237,1.392868,China,Software
002230,2022-11-18,34.85,-0.025175,1.44723,China,Software
002230,2022-11-21,34.07,-0.022382,1.076022,China,Software
002230,2022-11-22,33.33,-0.02172,0.87461,China,Software
002230,2022-11-23,33.18,-0.0045,0.690706,China,Software
002230,2022-11-24,32.56,-0.018686,0.773366,China,Software
002230,2022-11-25,32.27,-0.008907,0.521471,China,Software
002230,2022-11-28,31.41,-0.02665,0.883354,China,Software
002230,2022-11-29,32.39,0.0312,0.884175,China,Software
002230,2022-11-30,32.25,-0.004322,0.579576,China,Software
002230,2022-12-01,32.97,0.022326,0.905736,China,Software
002230,2022-12-02,32.97,0.0,0.600744,China,Software
002230,2022-12-05,33.43,0.013952,0.741092,China,Software
002230,2022-12-06,33.43,0.0,0.74024,China,Software
002230,2022-12-07,33.9,0.014059,1.04761,China,Software
002230,2022-12-08,33.72,-0.00531,0.717617,China,Software
002230,2022-12-09,34.0,0.008304,0.788804,China,Software
002230,2022-12-12,34.4,0.011765,0.824318,China,Software
002230,2022-12-13,33.16,-0.036047,0.796717,China,Software
002230,2022-12-14,33.83,0.020205,0.693319,China,Software
002230,2022-12-15,34.04,0.006208,0.569663,China,Software
002230,2022-12-16,33.9,-0.004113,0.428293,China,Software
002230,2022-12-19,33.28,-0.018289,0.437174,China,Software
002230,2022-12-20,32.13,-0.034555,0.658279,China,Software
002230,2022-12-21,31.88,-0.007781,0.368197,China,Software
002230,2022-12-22,32.96,0.033877,1.098638,China,Software
002230,2022-12-23,33.36,0.012136,0.874935,China,Software
002230,2022-12-26,32.8,-0.016787,0.684247,China,Software
002230,2022-12-27,33.13,0.010061,0.429976,China,Software
002230,2022-12-28,32.63,-0.015092,0.450827,China,Software
002230,2022-12-29,33.1,0.014404,0.5885,China,Software
002230,2022-12-30,32.83,-0.008157,0.39159,China,Software
002230,2023-01-03,34.37,0.046908,1.344895,China,Software
002230,2023-01-04,34.15,-0.006401,0.692552,China,Software
002230,2023-01-05,34.42,0.007906,0.743831,China,Software
002230,2023-01-06,33.94,-0.013945,0.734994,China,Software
002230,2023-01-09,34.04,0.002946,0.578465,China,Software
002230,2023-01-10,34.12,0.00235,0.609496,China,Software
002230,2023-01-11,33.2,-0.026964,1.010753,China,Software
002230,2023-01-12,33.31,0.003313,0.560688,China,Software
002230,2023-01-13,33.26,-0.001501,0.425128,China,Software
002230,2023-01-16,35.18,0.057727,2.264525,China,Software
002230,2023-01-17,35.5,0.009096,1.047058,China,Software
002230,2023-01-18,35.38,-0.00338,0.713363,China,Software
002230,2023-01-19,38.61,0.091295,3.010902,China,Software
002230,2023-01-20,37.88,-0.018907,1.457116,China,Software
002230,2023-01-30,41.67,0.100053,4.33823,China,Software
002230,2023-01-31,40.58,-0.026158,4.024196,China,Software
002230,2023-02-01,42.99,0.059389,4.224067,China,Software
002230,2023-02-02,42.88,-0.002559,5.897851,China,Software
002230,2023-02-03,43.86,0.022854,3.586276,China,Software
002230,2023-02-06,47.9,0.092111,5.582789,China,Software
002230,2023-02-07,46.69,-0.025261,4.809431,China,Software
002230,2023-02-08,46.33,-0.00771,4.069704,China,Software
002230,2023-02-09,46.4,0.001511,4.110638,China,Software
002230,2023-02-10,47.91,0.032543,6.264776,China,Software
002230,2023-02-13,48.5,0.012315,4.43215,China,Software
002230,2023-02-14,47.38,-0.023093,3.393058,China,Software
002230,2023-02-15,50.79,0.071971,6.379737,China,Software
002230,2023-02-16,48.5,-0.045088,4.79697,China,Software
002230,2023-02-17,46.7,-0.037113,3.778514,China,Software
002230,2023-02-20,50.94,0.090792,6.051524,China,Software
002230,2023-02-21,50.66,-0.005497,3.652689,China,Software
002230,2023-02-22,50.38,-0.005527,3.109282,China,Software
002230,2023-02-23,48.45,-0.038309,3.291052,China,Software
002230,2023-02-24,49.15,0.014448,3.055217,China,Software
002230,2023-02-27,47.79,-0.02767,2.17641,China,Software
002230,2023-02-28,48.34,0.011509,2.545182,China,Software
002230,2023-03-01,49.88,0.031858,3.83539,China,Software
002230,2023-03-02,50.9,0.020449,3.965962,China,Software
002230,2023-03-03,50.71,-0.003733,3.490374,China,Software
002230,2023-03-06,50.32,-0.007691,2.143889,China,Software
