date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta,ret,ret_market,stock_ret,China,Software,event_day,actual_event_date,expected_ret,abnormal_ret,event
2022-09-29,2230,China,Software,33.13,,,0.557891,,,-0.018079,-0.0004093600077959,-0.018079,1,1,-108,2023-03-15,0.0024528821568563525,-0.020531882156856356,GPT4
2022-09-30,2230,China,Software,32.82,,,0.408304,,,-0.009357,-0.0058328043619269,-0.009357,1,1,-107,2023-03-15,-0.00251673740360264,-0.006840262596397361,GPT4
2022-10-10,2230,China,Software,31.58,,,0.632904,,,-0.037782,-0.0223102491780268,-0.037782,1,1,-106,2023-03-15,-0.01761537707197154,-0.020166622928028462,GPT4
2022-10-11,2230,China,Software,31.1,,,0.60379,,,-0.015199,0.0018124157824932,-0.015199,1,1,-105,2023-03-15,0.004488743448208002,-0.019687743448208003,GPT4
2022-10-12,2230,China,Software,31.44,,,1.14962,,,0.010932,0.0150745806565951,0.010932,1,1,-104,2023-03-15,0.016641152446775005,-0.0057091524467750045,GPT4
2022-10-13,2230,China,Software,31.71,,,0.884577,,,0.008588,-0.0083941286666432,0.008588,1,1,-103,2023-03-15,-0.004863734355032907,0.013451734355032908,GPT4
2022-10-14,2230,China,Software,33.0,,,0.994676,,,0.040681,0.0236470029220339,0.040681,1,1,-102,2023-03-15,0.024496248689882844,0.01618475131011716,GPT4
2022-10-17,2230,China,Software,33.97,,,1.636581,,,0.029394,0.0010253767310732,0.029394,1,1,-101,2023-03-15,0.003767562514213035,0.025626437485786965,GPT4
2022-10-18,2230,China,Software,33.2,,,0.864857,,,-0.022667,-0.0021198030652958,-0.022667,1,1,-100,2023-03-15,0.0008855661265686618,-0.023552566126568662,GPT4
2022-10-19,2230,China,Software,32.7,,,0.558079,,,-0.01506,-0.0162143048728809,-0.01506,1,1,-99,2023-03-15,-0.012029531236705152,-0.003030468763294849,GPT4
2022-10-20,2230,China,Software,32.95,,,0.82232,,,0.007645,-0.0057378134945342,0.007645,1,1,-98,2023-03-15,-0.002429695213836249,0.010074695213836249,GPT4
2022-10-21,2230,China,Software,33.8,,,1.142355,,,0.025797,-0.0032100024629317,0.025797,1,1,-97,2023-03-15,-0.00011340720062427267,0.025910407200624274,GPT4
2022-10-24,2230,China,Software,34.39,,,2.081317,,,0.017456,-0.0296974238799339,0.017456,1,1,-96,2023-03-15,-0.0243844052942603,0.0418404052942603,GPT4
2022-10-25,2230,China,Software,33.86,,,1.125349,,,-0.015411,-0.0016303931525011,-0.015411,1,1,-95,2023-03-15,0.0013340230327143834,-0.016745023032714385,GPT4
2022-10-26,2230,China,Software,35.04,,,1.277817,,,0.034849,0.0080855895557667,0.034849,1,1,-94,2023-03-15,0.010236988484791133,0.024612011515208865,GPT4
2022-10-27,2230,China,Software,35.19,,,1.39428,,,0.004281,-0.0070685888044839,0.004281,1,1,-93,2023-03-15,-0.003649113461552665,0.007930113461552665,GPT4
2022-10-28,2230,China,Software,33.95,,,1.086013,,,-0.035237,-0.0250456627369028,-0.035237,1,1,-92,2023-03-15,-0.020121895778627115,-0.015115104221372883,GPT4
2022-10-31,2230,China,Software,35.03,,,1.429187,,,0.031811,-0.009255909279944,0.031811,1,1,-91,2023-03-15,-0.005653402601453078,0.037464402601453076,GPT4
2022-11-01,2230,China,Software,35.45,,,1.110688,,,0.01199,0.0351351212641948,0.01199,1,1,-90,2023-03-15,0.0350230604165643,-0.023033060416564298,GPT4
2022-11-02,2230,China,Software,35.78,,,1.134962,,,0.009309,0.0119345320473773,0.009309,1,1,-89,2023-03-15,0.0137638578770843,-0.004454857877084301,GPT4
2022-11-03,2230,China,Software,35.42,,,0.760153,,,-0.010061,-0.0081652696677364,-0.010061,1,1,-88,2023-03-15,-0.004654025896110859,-0.005406974103889141,GPT4
2022-11-04,2230,China,Software,35.7,,,1.186917,,,0.007905,0.0321745465323323,0.007905,1,1,-87,2023-03-15,0.03231022164899074,-0.02440522164899074,GPT4
2022-11-07,2230,China,Software,34.99,,,1.06327,,,-0.019888,0.0021536714062327,-0.019888,1,1,-86,2023-03-15,0.004801443369533955,-0.024689443369533954,GPT4
2022-11-08,2230,China,Software,35.3,,,1.162515,,,0.00886,-0.006903231322547,0.00886,1,1,-85,2023-03-15,-0.0034975928183887065,0.012357592818388706,GPT4
2022-11-09,2230,China,Software,34.53,,,0.996381,,,-0.021813,-0.0093936655923869,-0.021813,1,1,-84,2023-03-15,-0.005779631695031127,-0.016033368304968872,GPT4
2022-11-10,2230,China,Software,33.89,,,0.813314,,,-0.018535,-0.0077246758043791,-0.018535,1,1,-83,2023-03-15,-0.004250300193662959,-0.01428469980633704,GPT4
2022-11-11,2230,China,Software,34.46,,,1.029704,,,0.016819,0.0274965785166765,0.016819,1,1,-82,2023-03-15,0.028023698208200394,-0.011204698208200393,GPT4
2022-11-14,2230,China,Software,34.23,,,0.869993,,,-0.006674,0.0014712913615914,-0.006674,1,1,-81,2023-03-15,0.004176163750884738,-0.01085016375088474,GPT4
2022-11-15,2230,China,Software,35.05,,,1.209717,,,0.023956,0.0187880445371218,0.023956,1,1,-80,2023-03-15,0.020043879852591713,0.0039121201474082885,GPT4
2022-11-16,2230,China,Software,34.87,,,1.170713,,,-0.005136,-0.0082030359090714,-0.005136,1,1,-79,2023-03-15,-0.004688631921250672,-0.0004473680787493283,GPT4
2022-11-17,2230,China,Software,35.75,,,1.392868,,,0.025237,-0.0041097376640134,0.025237,1,1,-78,2023-03-15,-0.0009378540581131546,0.026174854058113154,GPT4
2022-11-18,2230,China,Software,34.85,,,1.44723,,,-0.025175,-0.0044867469743072,-0.025175,1,1,-77,2023-03-15,-0.0012833158570314225,-0.023891684142968578,GPT4
2022-11-21,2230,China,Software,34.07,,,1.076022,,,-0.022382,-0.008570466593736,-0.022382,1,1,-76,2023-03-15,-0.005025316617984251,-0.01735668338201575,GPT4
2022-11-22,2230,China,Software,33.33,,,0.87461,,,-0.02172,0.0001183227878866,-0.02172,1,1,-75,2023-03-15,0.002936409334773092,-0.024656409334773092,GPT4
2022-11-23,2230,China,Software,33.18,,,0.690706,,,-0.0045,0.0010489054404143,-0.0045,1,1,-74,2023-03-15,0.003789122380331108,-0.008289122380331108,GPT4
2022-11-24,2230,China,Software,32.56,,,0.773366,,,-0.018686,-0.0044409772049624,-0.018686,1,1,-73,2023-03-15,-0.001241376025780022,-0.01744462397421998,GPT4
2022-11-25,2230,China,Software,32.27,,,0.521471,,,-0.008907,0.0050362638085252,-0.008907,1,1,-72,2023-03-15,0.0074428252390375555,-0.016349825239037555,GPT4
2022-11-28,2230,China,Software,31.41,,,0.883354,,,-0.02665,-0.011328899441765,-0.02665,1,1,-71,2023-03-15,-0.007552928398002968,-0.019097071601997032,GPT4
2022-11-29,2230,China,Software,32.39,,,0.884175,,,0.0312,0.0303861691021326,0.0312,1,1,-70,2023-03-15,0.03067149266455224,0.0005285073354477574,GPT4
2022-11-30,2230,China,Software,32.25,,,0.579576,,,-0.004322,0.0011984743546364,-0.004322,1,1,-69,2023-03-15,0.00392617561683912,-0.008248175616839121,GPT4
2022-12-01,2230,China,Software,32.97,,,0.905736,,,0.022326,0.0107727022556604,0.022326,1,1,-68,2023-03-15,0.01269924806792448,0.009626751932075519,GPT4
2022-12-02,2230,China,Software,32.97,,,0.600744,,,0.0,-0.0061349324765045,0.0,1,1,-67,2023-03-15,-0.0027935839405871642,0.0027935839405871642,GPT4
